Number,URL,Location,Japanese
1,,Touyoutyou_Ikumi,東洋町生見
2,,Murotoshi_Murotomisakityou,室戸市室戸岬町
3,,Akishi_Nishihama,安芸市西浜
4,,Kounanshi_Yasutyou_temusubi,香南市夜須町手結
5,,Kamishi_Tosayamadatyou_Miyanokuti,香美市土佐山田町宮ノ口
6,,Nangokushi_Monobe,南国市物部
7,,Koutishi_Harunotyou_Yoshihara,高知市春野町芳原
8,,Tosashi_Usatyou_Usa,土佐市宇佐町宇佐
9,,Kuroshiotyou_Kamikawaguti,黒潮町上川口
10,,Kuroshiotyou_Ninagawa,黒潮町蜷川
11,,Kuroshiotyou_Ukibuti,黒潮町浮鞭
12,,Kuroshiotyou_Deguti,黒潮町出口
13,,Kuroshiotyou_Umani,黒潮町馬荷
14,,Tosashimizushi_Ashizurimisaki1,土佐清水市足摺岬1
15,,Tosashimizushi_Ashizurimisaki2,土佐清水市足摺岬2
16,,Tosashimizushi_Ashizurimisaki3,土佐清水市足摺岬3
17,,Sukumoshi_Kodukushityou,宿毛小筑紫町
